instrument,total_return,avg_daily_return,std_dev,win_rate,profit_factor,sharpe_ratio,annualized_sharpe
Fintech Token,53112.15,145.9125,791.7078650270395519705654217,0.6043956043956044,1.589309639111000648536133560,0.1843008350434124,2.9256850556784433
Purple Elixir,936600.00,2573.076923076923076923076923,4673.838856167754055031715641,0.6923076923076923,4.000961230374879846203140019,0.5505275048831274,8.739353206929913
Quantum Universal Algorithmic Currency Koin,98400.00,270.3296703296703296703296703,1100.598688775820844898495934,0.3956043956043956,2.518518518518518518518518519,0.24562049157561183,3.8991044256630256
Dawg Food,352144.00,967.4285714285714285714285714,1983.638798335169826164716202,0.6758241758241759,3.356676303672770103865510226,0.48770395743188544,7.742060308720801
UQ Dollar,107900.00,296.4285714285714285714285714,572.9167808286837401844032123,0.7032967032967034,4.329322101885278780585639791,0.5174023557744794,8.21350776682942
Fried Chicken,220312.50,605.2541208791208791208791209,595.8060445336205004716026910,0.7994505494505495,37.04294478527607361963190184,1.0158575044128944,16.12623794493131
Secret Spices,2904.11,7.978324175824175824175824176,35.89420423224811661110118073,0.5989010989010989,2.140346881638519018804801527,0.22227111539018285,3.528444569732191
Goober Eats,731250.00,2008.928571428571428571428571,3001.388635640294156876279617,0.7115384615384616,5.431818181818181818181818182,0.6693330107964915,10.625332145121764
Raw Chicken,13499.46,37.08642857142857142857142857,180.2705637349947659143840793,0.5384615384615384,1.705855963022125548040648472,0.20572604000322361,3.265799640351932
Rare Watch,35105.00,96.44230769230769230769230769,400.0862468435473162738570598,0.9478021978021978,5.350061957868649318463444857,0.24105359553871847,3.826607198600388
